"Report Written:","12:17 Tuesday, June 09, 2026"
"Design Path:","C:\Users\preet\Downloads\mindsync\32bit.pcb"
"Design Title:",
"Created:","31.7.13 8:13:11"
"Last Saved:","20.6.17 23:40:16"
"Editing Time:","116261 min"
"Units:","thou (precision 0)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"J2","1","2WP","","DSC","","","","","2 way Pin Header"
"J4","1","4WP","","DSC","","","","","4 way Pin Header"
"J3","1","4WP","","DSC","","","","","4 way Pin Header"
"PL1","1","26WDP","","DSC","","","","","Dual 13w Pin Header"
"C29","1","0603YC104KATDA","10uF","SM0603","AVX","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C1","1","0603YC104KATDA","10uF","SM0603","AVX","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C8","1","0603YC104KATDA","10uF","SM0603","AVX","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C25","1","0603YC104KATDA","10uF","SM0603","AVX","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C31","1","06033G104ZATDA","10uF","SM0603","AVX","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"C33","1","06033G104ZATDA","10uF","SM0603","AVX","","","","Capacitor, Surface Mount Multi-Layer Ceramic"
"X1","1","ABRACON_XTAL","8MHz","SM","","","","","CRYSTAL"
"U6","1","ADS1299","","TQFP-64","","","","",""
"B1","1","BATT","","SM","","","","","JST BATTERY CONNECTOR"
"C5","1","C",".1uF","EIA_0402","","","","","Capacitor"
"C24","1","C",".1uF","EIA_0402","","","","","Capacitor"
"C13","1","C",".1uF","EIA_0402","","","","","Capacitor"
"C28","1","C",".1uF","EIA_0402","","","","","Capacitor"
"C10","1","C",".1uF","EIA_0402","","","","","Capacitor"
"C12","1","C",".1uF","EIA_0402","","","","","Capacitor"
"C15","1","C","0.1uF","EIA_0402","","","","","Capacitor"
"C30","1","C","0.01uF","EIA_0402","","","","","Capacitor"
"C16","1","C","1nF","EIA_0402","","","","","Capacitor"
"C19","1","C","1uF","EIA_0402","","","","","Capacitor"
"C21","1","C","1uF","EIA_0402","","","","","Capacitor"
"C18","1","C","1uF","EIA_0402","","","","","Capacitor"
"C6","1","C","1uF","EIA_0402","","","","","Capacitor"
"C7","1","C","1uF","EIA_0402","","","","","Capacitor"
"C22","1","C","1uF","EIA_0402","","","","","Capacitor"
"C14","1","C","1uF","EIA_0402","","","","","Capacitor"
"C17","1","C","1uF","EIA_0402","","","","","Capacitor"
"C27","1","C","1uF","EIA_0402","","","","","Capacitor"
"C32","1","C","2.2uF","EIA_0402","","","","","Capacitor"
"C36","1","C","2.2uF","EIA_0402","","","","","Capacitor"
"C39","1","C","2.2uF","EIA_0402","","","","","Capacitor"
"C40","1","C","2.2uF","EIA_0402","","","","","Capacitor"
"C35","1","C","2.2uF","EIA_0402","","","","","Capacitor"
"C38","1","C","2.2uF","EIA_0402","","","","","Capacitor"
"C23","1","C","18pF","0402","","","","","Capacitor"
"C20","1","C","18pF","0402","","","","","Capacitor"
"C37","1","C 10uF","10uF","C0603","","","","","Capacitor"
"C2","1","C 100uF","100uF","1206","","","","","Capacitor"
"C4","1","C 100uF","100uF","1206","","","","","Capacitor"
"R4","1","CAY16-F4 R-ARRAY","2.2K","SM","","","","",""
"R6","1","CAY16-F4 R-ARRAY","2.2K","SM","","","","",""
"R2","1","CAY16-F4 R-ARRAY","2.2K","SM","","","","",""
"R3","1","CAY16-F4 R-ARRAY","2.2K","SM","","","","",""
"R1","1","CAY16-F4 R-ARRAY","2.2K","SM","","","","",""
"C3","1","CKCL44X7R1H102M085AA","","SMT","","","","","4 CAP ARRAY"
"C9","1","CKCL44X7R1H102M085AA","","SMT","","","","","4 CAP ARRAY"
"C11","1","CKCL44X7R1H102M085AA","","SMT","","","","","4 CAP ARRAY"
"C26","1","CKCL44X7R1H102M085AA","","SMT","","","","","4 CAP ARRAY"
"C34","1","CKCL44X7R1H102M085AA","","SMT","","","","","4 CAP ARRAY"
"SW2","1","CUS-3B SP3T SLIDE SWITCH","","SM","","","","","CUS-3B SP3T SLIDE SWITCH"
"D8","1","DI0603","","SM","","","","",""
"D9","1","DI0603","","SM","","","","",""
"D1","1","DI0603","BLUE LED","SM","","","","",""
"U1","1","LIS3DHTR ACCELEROMETER","","LGA","","","","","ST accelerometer LIS3DHTR"
"U3","1","LM2664","","SOT-23-6","","","","",""
"U5","1","LP5907","","SM","","","","",""
"U7","1","PIC32MX250F128B","","SSOP","","","","","ChipKIT PIC32"
"J1","1","PINHEAD-8","","SIP","","","","","0.1"" pitch header row"
"D5","1","Quad TVS TPD4E1B06","","SM","","","","","TI QUAD TVS"
"D3","1","Quad TVS TPD4E1B06","","SM","","","","","TI QUAD TVS"
"D4","1","Quad TVS TPD4E1B06","","SM","","","","","TI QUAD TVS"
"D2","1","Quad TVS TPD4E1B06","","SM","","","","","TI QUAD TVS"
"D7","1","Quad TVS TPD4E1B06","","SM","","","","","TI QUAD TVS"
"D6","1","Quad TVS TPD4E1B06","","SM","","","","","TI QUAD TVS"
"R8","1","R","1K","0402","","","","","Resistor"
"R5","1","R","1M","0402","","","","","Resistor"
"D10","1","R","220K","0402","","","","","Resistor"
"R11","1","R","330K","0402","","","","","Resistor"
"R10","1","R","330K","0402","","","","","Resistor"
"R7","1","R","470K","0402","","","","","Resistor"
"R9","1","R","470K","0402","","","","","Resistor"
"BLE1","1","RFD22301","","SM","","","","","BTLE Module"
"CONN1","1","SEEEDmicroSD","","MISC","","","","","SEEED microSD card slot"
"PL2","1","SMT_QUAD_04","","SM","","","","",""
"U2","1","SN74LVC1G32DCKR OR_GATE","","SM","","","","",""
"SW3","1","SW_TACT","","PTS810 TACT SWITCH","","","","",""
"SW1","1","SW_TACT","","PTS810 TACT SWITCH","","","","",""
"U4","1","TLV700xx LDO REG","","SOT23-5","","","","",""
"VR1","1","TPS72325","","SM","","","","",""
