V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 3 | Voltage: 0.015V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 3 | Voltage: 0.015V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 3 | Voltage: 0.015V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 0 | Voltage: 0.000V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 0 | Voltage: 0.000V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 2 | Voltage: 0.010V
Raw Value: 1021 | Voltage: 4.990V
Raw Value: 540 | Voltage: 2.639V
Raw Value: 0 | Voltage: 0.000V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1019 | Voltage: 4.980V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 27 | Voltage: 0.132V
Raw Value: 1019 | Voltage: 4.980V
Raw Value: 1019 | Voltage: 4.980V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 4 | Voltage: 0.020V
Raw Value: 1019 | Voltage: 4.980V
Raw Value: 6 | Voltage: 0.029V
Raw Value: 6 | Voltage: 0.029V
Raw Value: 1019 | Voltage: 4.980V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 4 | Voltage: 0.020V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 6 | Voltage: 0.029V

--- Statistics (last 100 samples) ---
Min Value: 0
Max Value: 1022
Range: 1022
Average: 527
-------------------------------------

Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 3 | Voltage: 0.015V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 0 | Voltage: 0.000V
Raw Value: 1022 | Voltage: 4.995V
Raw Value: 4 | Voltage: 0.020V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 4 | Voltage: 0.020V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 5 | Voltage: 0.024V
Raw Value: 1017 | Voltage: 4.971V
Raw Value: 1020 | Voltage: 4.985V
Raw Value: 1 | Voltage: 0.005V
Raw Value: 1022 | Voltage: 4.995V
