Row,Timestamp_ms,RawEEG,Delta,Theta,Alpha,Beta,Gamma,DominantBand
1,94680,72.7656,37.9683,0.7092,0.5514,2.8412,2.1418,Delta
2,94698,88.1563,39.6839,2.8539,2.4150,8.1525,3.8873,Delta
3,94699,96.6406,41.8646,5.1231,4.0978,11.2201,4.0149,Delta
4,94699,95.0625,43.6413,6.5942,4.8202,10.4029,2.4342,Delta
5,94699,84.9531,44.3604,6.7231,4.2663,6.0392,-0.0684,Delta
6,94699,72.6563,43.9538,5.6647,2.7884,0.4087,-2.1642,Delta
7,94699,63.5000,42.7951,4.0058,1.0534,-4.0898,-3.0354,Delta
8,94699,58.3906,41.2933,2.2702,-0.4491,-6.5098,-2.8440,Delta
9,94699,58.0938,39.8773,0.9144,-1.3711,-6.5866,-1.8755,Delta
10,94699,62.0313,38.8840,0.2229,-1.5706,-4.6909,-0.5242,Delta
11,94699,68.1563,38.4483,0.2234,-1.1506,-1.7617,0.7289,Delta
12,94700,71.9844,38.3256,0.5445,-0.5471,0.5356,1.2149,Delta
13,94710,71.2656,38.1135,0.7137,-0.2080,1.0927,0.7758,Delta
14,94710,66.7813,37.5155,0.4477,-0.3356,-0.0467,-0.1871,Delta
15,94710,61.0781,36.4736,-0.2414,-0.8366,-1.9640,-1.0735,Delta
16,94715,56.6719,35.1407,-1.1241,-1.4438,-3.5589,-1.4618,Delta
17,94723,53.0625,33.6136,-2.0688,-2.0272,-4.6148,-1.5245,Delta
18,94723,48.7109,31.8540,-3.1069,-2.6264,-5.5355,-1.6161,Delta
19,94726,46.1484,30.0337,-4.0456,-3.0706,-5.8097,-1.4316,Delta
20,94729,49.3438,28.6293,-4.4065,-2.9574,-4.2851,-0.4640,Delta
21,94733,58.0156,28.0442,-3.8668,-2.0872,-0.8648,1.0607,Delta
22,94740,68.0859,28.3072,-2.5467,-0.6859,3.1490,2.3460,Delta
23,94749,74.8203,29.0580,-0.9501,0.7206,5.9535,2.6855,Delta
24,94750,76.4688,29.8312,0.3947,1.6753,6.6009,2.0461,Delta
25,94750,74.3438,30.3167,1.2098,2.0202,5.3890,0.9420,Delta
26,94753,72.2188,30.5441,1.6166,1.9762,3.6750,0.1424,Delta
27,94757,73.1172,30.7859,1.9689,1.9284,2.8140,0.0884,Delta
28,94762,76.9922,31.2825,2.5269,2.1092,3.1636,0.5888,Delta
29,94765,80.0703,31.9417,3.1614,2.3604,3.6865,0.8962,Delta
30,94769,79.3594,32.4377,3.5210,2.3522,3.1938,0.5388,Delta
31,94772,74.3828,32.4402,3.3084,1.8578,1.2696,-0.3978,Delta
32,94776,66.6875,31.7797,2.4425,0.8794,-1.6325,-1.4848,Delta
33,94790,59.5703,30.5734,1.1536,-0.3063,-4.3440,-2.1417,Delta
34,94793,55.4922,29.1267,-0.1715,-1.3315,-5.8185,-2.0794,Delta
35,94793,56.2031,27.8558,-1.0954,-1.8439,-5.3818,-1.2547,Delta
36,94794,59.6484,26.9663,-1.4733,-1.8089,-3.5940,-0.2090,Delta
37,94796,63.3086,26.4366,-1.4199,-1.4239,-1.5049,0.5427,Delta
38,94800,62.9141,25.9000,-1.3900,-1.1539,-0.6645,0.4233,Delta
39,94813,56.5156,24.8698,-1.8869,-1.4278,-1.9785,-0.6329,Delta
40,94813,46.4219,23.0982,-3.0811,-2.3060,-4.8692,-1.9924,Delta
41,94814,36.4141,20.6717,-4.7677,-3.5077,-7.9151,-2.9215,Delta
42,94816,31.4883,18.0748,-6.3620,-4.4623,-9.2597,-2.7532,Delta
43,94819,32.6055,15.8197,-7.3489,-4.7577,-8.2111,-1.6227,Delta
44,94825,37.4531,14.1766,-7.5505,-4.3497,-5.4559,-0.2054,Delta
45,94827,41.7578,13.0391,-7.2100,-3.5714,-2.6027,0.6953,Delta
46,94839,42.5117,12.0670,-6.7722,-2.8746,-1.0383,0.7075,Delta
47,94839,40.7539,11.0398,-6.4822,-2.4524,-0.8099,0.2212,Delta
48,94840,37.0039,9.8026,-6.4761,-2.3706,-1.6182,-0.4562,Delta
49,94844,35.0342,8.5233,-6.5305,-2.3641,-2.2154,-0.6837,Delta
50,94847,35.8262,7.4325,-6.3950,-2.1917,-1.9232,-0.3751,Delta
51,94851,41.1064,6.8767,-5.7399,-1.5808,-0.1587,0.5395,Delta
52,94854,49.0823,7.0196,-4.4801,-0.5221,2.6134,1.6132,Delta
53,94859,53.7275,7.5174,-3.0733,0.5066,4.4905,1.8796,Delta
54,94872,49.5723,7.6166,-2.3264,0.7939,3.4578,0.6974,Delta
55,94872,36.4463,6.6295,-2.8439,-0.0749,-0.8619,-1.5627,Delta
